symbol,date,open,high,low,close,volume,adjusted
NVDA,13-11-2017,5.40350008,5.429249763,5.300250053,5.315750122,582376000.00,5.25545454
NVDA,14-11-2017,5.324999809,5.369999886,5.280749798,5.354499817,529292000.00,5.293764114
NVDA,15-11-2017,5.298749924,5.300000191,5.195000172,5.249499798,501948000.00,5.189954758
NVDA,16-11-2017,5.324500084,5.355000019,5.28125,5.290249825,441768000.00,5.230243683
NVDA,17-11-2017,5.34800005,5.383749962,5.268750191,5.28399992,515664000.00,5.224063873
NVDA,20-11-2017,5.299749851,5.364250183,5.262499809,5.352000237,396100000.00,5.291291237
NVDA,21-11-2017,5.392250061,5.413000107,5.360000134,5.401249886,399176000.00,5.339984417
NVDA,22-11-2017,5.425000191,5.425000191,5.340250015,5.373250008,356640000.00,5.315991402
NVDA,24-11-2017,5.389750004,5.425000191,5.364999771,5.423999786,180752000.00,5.366200447
NVDA,27-11-2017,5.432750225,5.434000015,5.350249767,5.353499889,422896000.00,5.296451092
NVDA,28-11-2017,5.358749866,5.368249893,5.205999851,5.267749786,512752000.00,5.211616039
NVDA,29-11-2017,5.250249863,5.252999783,4.780749798,4.91050005,1396788000.00,4.85817337
NVDA,30-11-2017,4.980000019,5.066999912,4.916250229,5.017749786,823768000.00,4.964281082
NVDA,01-12-2017,4.982749939,5.003250122,4.811749935,4.941999912,811548000.00,4.88933754
NVDA,04-12-2017,5.00124979,5.007500172,4.612500191,4.666500092,1240844000.00,4.616772652
NVDA,05-12-2017,4.559999943,4.817500114,4.514500141,4.693500042,981488000.00,4.643485069
NVDA,06-12-2017,4.642499924,4.753499985,4.620999813,4.731500149,467032000.00,4.681079865
NVDA,07-12-2017,4.798999786,4.840000153,4.752999783,4.799749851,542600000.00,4.748602867
NVDA,08-12-2017,4.850249767,4.86950016,4.778749943,4.787250042,466876000.00,4.736237049
NVDA,11-12-2017,4.801499844,4.86950016,4.78550005,4.866499901,372748000.00,4.814641953
NVDA,12-12-2017,4.822500229,4.846000195,4.74725008,4.770999908,455016000.00,4.720160484
NVDA,13-12-2017,4.8125,4.81374979,4.646999836,4.654500008,554280000.00,4.604900837
NVDA,14-12-2017,4.647999763,4.733500004,4.614999771,4.66174984,438164000.00,4.612073898
NVDA,15-12-2017,4.706250191,4.809500217,4.640500069,4.789000034,670036000.00,4.737967491
NVDA,18-12-2017,4.829999924,4.950500011,4.800000191,4.947500229,477704000.00,4.894778728
NVDA,19-12-2017,4.938000202,4.943250179,4.874000072,4.902750015,373100000.00,4.850505352
NVDA,20-12-2017,4.942500114,4.951749802,4.863749981,4.920000076,288820000.00,4.867572308
NVDA,21-12-2017,4.923500061,4.948750019,4.888750076,4.897250175,300904000.00,4.845063686
NVDA,22-12-2017,4.860000134,4.891250134,4.78125,4.881750107,466276000.00,4.82972908
NVDA,26-12-2017,4.825749874,4.943749905,4.795499802,4.93599987,355080000.00,4.883402824
NVDA,27-12-2017,4.922500134,4.999249935,4.90775013,4.929249763,329488000.00,4.876722813
NVDA,28-12-2017,4.953249931,4.984499931,4.928750038,4.934999943,240248000.00,4.88241148
NVDA,29-12-2017,4.961500168,4.961500168,4.837500095,4.837500095,279964000.00,4.785951614
NVDA,02-01-2018,4.894499779,4.987500191,4.862500191,4.983749866,355616000.00,4.930642128
NVDA,03-01-2018,5.102499962,5.34250021,5.09375,5.311749935,914704000.00,5.25514698
NVDA,04-01-2018,5.394000053,5.451250076,5.317249775,5.339749813,583268000.00,5.282849312
NVDA,05-01-2018,5.354750156,5.422749996,5.27699995,5.385000229,580124000.00,5.327618122
NVDA,08-01-2018,5.510000229,5.625,5.46449995,5.550000191,881216000.00,5.490858078
NVDA,09-01-2018,5.555500031,5.595499992,5.46600008,5.548500061,497000000.00,5.489374161
NVDA,10-01-2018,5.454999924,5.595499992,5.400000095,5.592000008,582664000.00,5.532411575
NVDA,11-01-2018,5.625,5.656750202,5.580249786,5.602000237,406032000.00,5.542304516
NVDA,12-01-2018,5.590000153,5.624750137,5.533500195,5.574500084,359916000.00,5.515098095
NVDA,16-01-2018,5.601250172,5.687749863,5.417250156,5.50274992,702348000.00,5.444111347
NVDA,17-01-2018,5.517499924,5.627999783,5.422500134,5.618000031,538408000.00,5.558135033
NVDA,18-01-2018,5.598499775,5.665999889,5.566999912,5.611000061,408632000.00,5.551208973
NVDA,19-01-2018,5.702250004,5.777249813,5.675000191,5.75274992,609380000.00,5.691447735
NVDA,22-01-2018,5.760749817,5.843999863,5.702499866,5.84224987,550944000.00,5.77999258
NVDA,23-01-2018,5.896249771,5.99574995,5.877500057,5.972750187,475228000.00,5.909104824
NVDA,24-01-2018,5.975999832,6.012249947,5.838749886,5.894999981,579972000.00,5.832182407
NVDA,25-01-2018,5.949999809,5.993750095,5.893750191,5.908750057,409884000.00,5.845786095
NVDA,26-01-2018,5.953000069,6.083499908,5.940000057,6.083250046,516356000.00,6.018425465
NVDA,29-01-2018,6.068500042,6.202750206,6.015250206,6.171249866,455116000.00,6.105487347
NVDA,30-01-2018,6.027750015,6.16050005,5.960249901,6.06799984,570832000.00,6.003339291
NVDA,31-01-2018,6.144249916,6.231750011,6.111249924,6.144999981,478576000.00,6.079519749
